ISIN;Ticker;Name;Sektor;Industrie;Land;Datum;Währung;Schlusskurs;Dividende;Gesamteindruck;Marktkapitalisierung (in Milliarden USD);Zielpreis;Bear Market Factor;Bad News Factor;Performance dieses Jahr;Sensitivität;Gewinnrevisionen;Potenzial;MF Tech. Trend;4W Rel. Perf;Vergleichsindex;KGV;LF Wachstum;Eigenkapitalrendite;Operative Gewinnmarge;Eigenmittel;Burchwert zu Preis;Anzahl Sterne;Gesamteindruck Marktumfeld;Umsatz  (in Mio);Reingewinn (in Mio);Reingewinn %;Current Ratio;Langfristiges Eigenkapital;Umsatz zu Aktien;Cash flow zu Umsatz;Ausbezahlte Dividenden (in Mio)
DK0060252690;PNDORA;PANDORA;Bekleidung &  Accessoires;Privat- & Haushaltswaren;Dänemark;02.08.2024;DKK;1011;2.09;neutral;11.76;1133.24;3;155;8.34%;mittel;negativ;stark unterbewertet;negativ;3.74%;STOXX600;11.3;14.40%;88%;25%;23%;7%;2;negativ;28137;4740;17%;0.99;41%;118.23%;24.23%;1412
CH0024608827;PGHN;PARTNERS GROUP HOLDING;Vermögensverwalter;Finanzdienstleistungen;Schweiz ;02.08.2024;CHF;1105.5;3.97;neutral;35.81;1251.44;22;132;-8.86%;mittel;negativ;stark unterbewertet;negativ;-3.00%;STOXX600;18.6;17.30%;41%;57%;51%;8%;1;neutral;2172;1003;46%;NULL;19%;45.20%;48.10%;959
GB0006776081;PSON;PEARSON;Verlagswesen;Medien;Grossbritannien ;02.08.2024;GBp;1049.5;2.4;eher positive;8.94;1101.98;-65;186;8.85%;niedrig;negativ;leicht unterbewertet;positiv;9.93%;STOXX600;14.2;11.60%;10%;15%;59%;60%;3;neutral;3674;378;10%;1.73;16%;54.62%;24.52%;154
GB00BNNTLN49;PNN;PENNON GROUP;Wasserversorger;Versorger;Grossbritannien ;02.08.2024;GBp;630.5;7.48;neutral;2.3;697.34;24;260;-16.10%;mittel;negativ;leicht unterbewertet;negativ;18.48%;STOXX600;10.6;89.00%;-1%;20%;19%;63%;2;positiv;908;-10;-1%;0.97;60%;14.57%;17.89%;112
FR0000120693;RI;PERNOD-RICARD;Wein & Spirituosen;Nahrungsmittel & Getränke;Frankreich;02.08.2024;EUR;123.15;3.49;neutral;33.55;117.06;61;180;-22.91%;mittel;negativ;leicht unterbewertet;negativ;-0.01%;STOXX600;14.7;10.10%;14%;27%;42%;30%;1;neutral;12137;2262;19%;1.73;27%;32.21%;NULL;NULL
GB0006825383;PSN;PERSIMMON;Eigenheimbau;Privat- & Haushaltswaren;Grossbritannien ;02.08.2024;GBp;1556.5;3.95;neutral;6.47;1670.64;-1;189;12.06%;mittel;positiv;stark unterbewertet;positiv;14.57%;STOXX600;13;15.60%;7%;13%;71%;77%;4;negativ;2773;255;9%;4.54;0%;57.92%;9.88%;255
GB00BGXQNP29;PHNX;PHOENIX GROUP;Lebensversicherungen;Versicherungen;Grossbritannien ;02.08.2024;GBp;529;10.4;neutral;6.91;575;55;188;-1.16%;mittel;negativ;leicht unterbewertet;positiv;3.13%;STOXX600;9.8;15.00%;-6%;4%;1%;47%;3;neutral;15451;-138;-1%;0.15;1%;5.25%;-0.85%;520
PLPKO0000016;PKO;PKO BANK SA;Banken;Geldinstitute;Polen;02.08.2024;PLN;55.88;10.17;neutral;18.3;63.65;16;180;11.05%;mittel;positiv;leicht unterbewertet;negativ;-7.08%;STOXX600;6.4;12.30%;12%;39%;9%;72%;2;NULL;38877;5502;14%;0.12;2%;7.75%;17.68%;0
PLPKN0000018;PKN;PLKNC.NAFTOWY ORLEN;Öl & Gas Produzenten;Energie;Polen;02.08.2024;PLN;63.4;6.69;eher negative;18.59;56.56;0;297;-3.21%;mittel;negativ;tark überbewertet;negativ;-4.50%;STOXX600;7;-0.10%;17%;12%;59%;217%;0;NULL;372640;27553;7%;1.38;7%;133.05%;11.19%;6385
DE000PAG9113;P911;PORSCHE;Fahrzeugbau;Automobile & Zubehör;Deutschland;02.08.2024;EUR;68.64;3.54;neutral;67.82;64.04;57;196;-14.09%;mittel;negativ;stark unterbewertet;negativ;3.29%;STOXX600;12.4;10.90%;24%;18%;43%;60%;2;negativ;40530;5157;13%;1.48;13%;80.34%;21.43%;4895
DE000PAH0038;PAH3;PORSCHE AUTOMOBIL;Fahrzeugbau;Automobile & Zubehör;Deutschland;02.08.2024;EUR;39.9;6.4;neutral;13.42;45.82;45;175;-13.86%;mittel;negativ;leicht unterbewertet;negativ;-2.96%;STOXX600;2.3;4.50%;9%;104%;88%;780%;1;negativ;5230;5096;97%;7.52;11%;8.35%;97.46%;783
IT0003796171;PST;POSTE ITALIANE;Lebensversicherungen;Versicherungen;Italien;02.08.2024;EUR;11.84;8.48;neutral;17.1;12.96;-11;193;15.18%;mittel;negativ;leicht unterbewertet;negativ;0.57%;STOXX600;7.2;5.40%;20%;16%;4%;72%;2;neutral;20140;1922;10%;0.51;4%;7.44%;13.90%;883
NL0013654783;PRX;PROSUS;Medien und Unterhaltung;Medien;Holland;02.08.2024;EUR;31.24;0.33;neutral;81.42;35.54;56;215;15.77%;mittel;positiv;leicht unterbewertet;negativ;-2.45%;STOXX600;7.9;16.40%;16%;101%;67%;53%;2;neutral;5042;6085;121%;4.77;25%;8.81%;123.80%;184
GB0007099541;PRU;PRUDENTIAL;Lebensversicherungen;Versicherungen;Grossbritannien ;02.08.2024;GBp;645.4;2.84;eher negative;23.18;610.74;146;204;-27.25%;hoch;negativ;leicht unterbewertet;negativ;-5.92%;STOXX600;7;9.30%;10%;22%;10%;57%;1;neutral;8733;1368;16%;0.1;3%;6.49%;NULL;429
IT0004176001;PRY;PRYSMIAN;Elektrische Komponenten;Industrie;Italien;02.08.2024;EUR;56.82;1.44;neutral;17.61;62.3;17;121;38.01%;mittel;positiv;fairer Preis;negativ;0.72%;STOXX600;11.5;18.40%;14%;7%;28%;34%;3;negativ;15354;529;3%;1.18;19%;115.24%;5.79%;158
CH0018294154;PSPN;PSP SWISS PROPERTY AG;Immobilienbesitz & Entwicklung;Finanzdienstleistungen;Schweiz ;02.08.2024;CHF;118.9;3.3;eher positive;6.19;124.85;-57;148;1.11%;niedrig;positiv;leicht überbewertet;positiv;4.97%;STOXX600;22.5;9.80%;4%;80%;53%;97%;3;neutral;373;208;56%;NULL;31%;3.81%;56.00%;174
FR0000130577;PUB;PUBLICIS GROUPE;Medien-Agenturen;Medien;Frankreich;02.08.2024;EUR;90.92;4.08;neutral;26.02;102.51;-25;114;8.24%;mittel;positiv;stark unterbewertet;negativ;-4.84%;STOXX600;11.1;8.30%;13%;15%;27%;47%;2;neutral;14802;1312;9%;0.94;12%;40.31%;14.96%;726
DE0006969603;PUM;PUMA;Schuhe & Sport;Privat- & Haushaltswaren;Deutschland;02.08.2024;EUR;43.53;2.28;eher negative;7.3;39.03;74;353;-13.84%;hoch;negativ;stark unterbewertet;negativ;2.63%;STOXX600;12.1;17.10%;12%;7%;38%;34%;2;negativ;8602;305;4%;1.55;22%;129.54%;7.63%;123
PLPZU0000011;PZU;PZU GROUP SA;Universalversicherungen;Versicherungen;Polen;02.08.2024;PLN;47;8.56;neutral;10.38;52.65;-3;160;-0.57%;mittel;positiv;leicht unterbewertet;negativ;-3.52%;STOXX600;7;4.30%;19%;42%;6%;74%;2;NULL;60699;5766;9%;0.61;4%;13.07%;11.78%;2072
NL0015001WM6;QIA;QIAGEN NV;Biotechnologie;Gesundheitswesen;Deutschland;02.08.2024;EUR;42.08;0;neutral;10.16;37.45;13;206;3.59%;mittel;positiv;leicht überbewertet;positiv;13.84%;STOXX600;18.2;12.70%;12%;27%;56%;31%;3;positiv;2034;402;20%;2.46;23%;34.63%;28.32%;0
GB00B0WMWD03;QQ.;QINETIQ GROUP;Luftfahrt & Verteidigung;Industrie;Grossbritannien ;02.08.2024;GBp;463.2;1.95;eher positive;3.41;508.3;-72;237;49.90%;niedrig;positiv;leicht unterbewertet;positiv;9.08%;STOXX600;11.5;11.00%;15%;12%;44%;44%;4;negativ;1912;140;7%;1.15;18%;90.78%;12.04%;46
AT0000606306;RBI;RAIFFEISEN BANK;Banken;Geldinstitute;Oesterreich;02.08.2024;EUR;16.62;8.74;eher negative;6.3;14.65;25;278;-10.98%;mittel;negativ;tark überbewertet;negativ;1.78%;STOXX600;2.9;-1.20%;13%;30%;9%;277%;1;negativ;15000;2277;15%;0.44;15%;7.57%;18.35%;429
NL0000379121;RAND;RANDSTAD;Personalberater;Industrie;Holland;02.08.2024;EUR;41.96;5.44;neutral;8.47;47.16;39;214;-26.02%;mittel;negativ;leicht unterbewertet;negativ;0.43%;STOXX600;10;10.90%;13%;4%;41%;47%;2;negativ;25426;624;2%;1.11;4%;223.00%;3.73%;530
DE0007010803;RAA;RATIONAL;Industriemaschinen;Industrie;Deutschland;02.08.2024;EUR;765;1.97;neutral;9.76;704.97;25;186;9.36%;mittel;negativ;leicht überbewertet;negativ;1.14%;STOXX600;31.3;20.20%;29%;25%;76%;9%;1;negativ;1126;216;19%;3.78;2%;115.21%;22.06%;153
GB00B24CGK77;RB.;RECKITT BENCKISER;Verbrauchsgüter;Privat- & Haushaltswaren;Grossbritannien ;02.08.2024;GBp;4150;5.01;neutral;36.45;4644.25;-13;214;-23.43%;mittel;negativ;stark unterbewertet;negativ;1.91%;STOXX600;11.8;8.80%;19%;24%;31%;22%;2;negativ;14607;1634;11%;0.64;25%;53.83%;14.40%;1339
IT0003828271;REC;RECORDATI INDUA.CHIMICA;Pharmaka;Gesundheitswesen;Italien;02.08.2024;EUR;50.15;2.92;neutral;11.35;54.01;-33;210;2.70%;mittel;negativ;leicht unterbewertet;negativ;4.99%;STOXX600;15.6;11.80%;23%;28%;40%;17%;2;positiv;2082;389;19%;1.2;32%;49.48%;25.54%;246
ES0173093024;REE;RED ELECTRICA;Stromversorger;Versorger;Spanien;02.08.2024;EUR;16.84;4.75;eher positive;9.57;17.72;-48;137;12.94%;mittel;positiv;stark unterbewertet;positiv;7.48%;STOXX600;14;9.90%;13%;47%;37%;67%;4;positiv;2064;690;33%;1.06;36%;14.25%;59.45%;540
GB00B2B0DG97;REL;RELX;Verlagswesen;Medien;Grossbritannien ;02.08.2024;GBp;3567;1.85;eher positive;85.17;3833;-75;172;14.69%;niedrig;negativ;leicht überbewertet;positiv;2.84%;STOXX600;25;16.90%;51%;28%;23%;6%;2;neutral;9161;1781;19%;0.52;35%;61.41%;28.10%;1059
FR0000131906;RNO;RENAULT;Fahrzeugbau;Automobile & Zubehör;Frankreich;02.08.2024;EUR;41.88;7.88;neutral;13.69;49.94;33;196;13.48%;mittel;negativ;leicht unterbewertet;negativ;-12.15%;STOXX600;2.9;10.90%;7%;6%;24%;278%;1;negativ;52376;2198;4%;1.11;7%;42.96%;9.32%;73
GB00B082RF11;RTO;RENTOKIL INITIAL;Dienstleister für Unternehmen;Industrie;Grossbritannien ;02.08.2024;GBp;461.2;2.09;eher negative;14.85;408.31;83;172;4.63%;hoch;negativ;leicht unterbewertet;positiv;4.34%;STOXX600;16.3;13.10%;9%;13%;37%;37%;3;negativ;5375;381;7%;1.05;31%;48.31%;15.93%;201
IT0005282865;REY;REPLY;Informatik Dienstleister;Technologie;Italien;02.08.2024;EUR;126.6;0.92;neutral;5.21;118.66;62;151;5.94%;mittel;negativ;fairer Preis;negativ;-4.56%;STOXX600;18;14.70%;17%;14%;47%;25%;1;negativ;2118;187;9%;1.49;6%;89.22%;11.84%;37
ES0173516115;REP;REPSOL SA;Öl & Gas Produzenten;Energie;Spanien;02.08.2024;EUR;12.79;7.45;neutral;17.13;14.42;-47;248;-4.94%;mittel;negativ;leicht unterbewertet;negativ;-12.94%;STOXX600;4;1.40%;13%;9%;39%;146%;1;negativ;58948;3108;5%;1.54;17%;95.64%;9.40%;979
FR0010451203;RXL;REXEL;Elektrische Komponenten;Industrie;Frankreich;02.08.2024;EUR;21.49;5.75;neutral;7.24;25.78;68;217;-13.24%;mittel;negativ;leicht unterbewertet;negativ;-9.41%;STOXX600;7.2;7.00%;14%;7%;41%;75%;1;negativ;19153;775;4%;1.75;27%;140.32%;6.04%;362
DE0007030009;RHM;RHEINMETALL;Automobilteile & Zubehör;Automobile & Zubehör;Deutschland;02.08.2024;EUR;480.1;2.03;eher positive;23.24;561.73;-89;263;67.28%;niedrig;positiv;leicht unterbewertet;negativ;2.20%;STOXX600;12.2;25.90%;16%;12%;28%;27%;3;negativ;7176;535;7%;1.3;13%;60.09%;11.75%;187
CH0210483332;CFR;RICHEMONT N;Bekleidung &  Accessoires;Privat- & Haushaltswaren;Schweiz ;02.08.2024;CHF;127.55;2.34;negative;90.09;115.83;82;182;10.19%;hoch;negativ;fairer Preis;negativ;-7.05%;STOXX600;16.4;12.60%;11%;24%;48%;27%;1;negativ;19805;2269;11%;2.65;23%;47.70%;18.39%;1990
GB00BGDT3G23;RMV;RIGHTMOVE;Medien-Agenturen;Medien;Grossbritannien ;02.08.2024;GBp;558.6;1.84;neutral;5.77;607.78;35;235;-2.95%;mittel;negativ;fairer Preis;positiv;7.48%;STOXX600;16.8;14.20%;287%;71%;66%;2%;3;neutral;364;199;55%;2.41;5%;347.39%;56.03%;72
DK0060854669;RILBA;RINGKJOBING LANDBOBANK;Banken;Geldinstitute;Dänemark;02.08.2024;DKK;1135;1.02;neutral;4.43;1225.3;-32;157;14.47%;mittel;positiv;leicht überbewertet;negativ;-0.27%;STOXX600;12.5;5.70%;21%;67%;14%;39%;2;negativ;4696;2155;46%;0.14;9%;6.39%;NULL;NULL
GB0007188757;RIO;RIO TINTO;Minen;Rohstoffe;Grossbritannien ;02.08.2024;GBp;4949.5;6.67;neutral;108.73;5492.8;12;215;-15.28%;mittel;negativ;stark unterbewertet;negativ;-1.71%;STOXX600;9.2;3.40%;19%;28%;53%;59%;1;negativ;43474;8091;19%;1.69;13%;53.52%;28.48%;5205
CH0012032048;ROG;ROCHE HOLDING;Pharmaka;Gesundheitswesen;Schweiz ;02.08.2024;CHF;281.1;3.5;eher positive;265.7;295.16;-40;165;14.97%;mittel;positiv;leicht unterbewertet;positiv;15.67%;STOXX600;13;9.30%;39%;31%;32%;17%;4;positiv;58716;11498;20%;1.35;29%;64.90%;25.48%;7590
DK0010219153;ROCKB;ROCKWOOL A/S;Baustoffe & Einbauten;Baugewerbe & Werkstoffe;Dänemark;02.08.2024;DKK;2810;1.92;neutral;9.21;3076.59;-42;172;42.21%;mittel;negativ;fairer Preis;negativ;0.06%;STOXX600;14;11.20%;14%;15%;79%;98%;2;neutral;26973;2898;11%;2.17;2%;101.81%;17.96%;753
GB00B63H8491;RR.;ROLLS-ROYCE HOLDINGS PLC;Luftfahrt & Verteidigung;Industrie;Grossbritannien ;02.08.2024;GBp;463.9;0.93;neutral;52.16;498.08;-35;147;54.79%;mittel;positiv;fairer Preis;positiv;6.52%;STOXX600;20.1;19.50%;66%;20%;-12%;-15%;4;negativ;16486;2412;15%;1.18;16%;52.32%;20.38%;0
GB00BVFNZH21;ROR;ROTORK;Industriemaschinen;Industrie;Grossbritannien ;02.08.2024;GBp;336.6;2.35;neutral;3.82;314.59;-43;154;4.02%;mittel;positiv;fairer Preis;positiv;3.82%;STOXX600;18.3;12.90%;18%;23%;80%;22%;4;negativ;719;113;16%;3.09;1%;92.94%;18.23%;59
DK0060634707;RBREW;ROYAL UNIBREW;Brauereien;Nahrungsmittel & Getränke;Dänemark;02.08.2024;DKK;540.5;2.84;neutral;3.83;604.04;-7;271;19.82%;mittel;negativ;leicht unterbewertet;negativ;-0.14%;STOXX600;16.3;14.70%;19%;13%;32%;25%;1;neutral;12927;1095;8%;0.67;31%;72.71%;12.95%;720
GB0003096442;ECM;RS GROUP PLC;Industrielieferanten;Industrie;Grossbritannien ;02.08.2024;GBp;743;3.05;neutral;4.76;828.74;59;149;-9.35%;mittel;positiv;stark unterbewertet;negativ;6.69%;STOXX600;13;12.20%;13%;10%;49%;42%;3;negativ;2942;184;6%;2.01;17%;101.52%;9.09%;104
FR0013269123;RUI;RUBIS;Bohranlagen & Dienstleistungen;Energie;Frankreich;02.08.2024;EUR;28.44;7.48;neutral;3.23;31.65;-6;148;26.40%;mittel;negativ;leicht unterbewertet;negativ;7.50%;STOXX600;7.8;5.90%;13%;8%;41%;113%;2;negativ;6630;354;5%;1.27;24%;104.46%;8.17%;198
DE0007037129;RWE;RWE;Multiversorger;Versorger;Deutschland;02.08.2024;EUR;31.56;3.63;neutral;27.6;29.95;10;214;-23.36%;mittel;positiv;tark überbewertet;negativ;0.72%;STOXX600;14.1;-1.30%;5%;13%;26%;103%;2;positiv;28566;1450;5%;1.35;10%;23.60%;11.73%;669
IE00BYTBXV33;RYA;RYANAIR HOLDINGS;Fluggesellschaften;Reisen & Freizeit;Irland;02.08.2024;EUR;14.18;2.68;neutral;17.84;17.01;-25;273;-25.66%;mittel;negativ;stark unterbewertet;negativ;-8.60%;STOXX600;9;8.10%;25%;16%;44%;32%;1;negativ;13444;1917;14%;0.91;15%;78.27%;22.14%;200
SE0021921269;SAABB;SAAB AB;Luftfahrt & Verteidigung;Industrie;Schweden ;02.08.2024;SEK;231.75;1.16;neutral;12.21;264.97;-42;225;52.57%;mittel;positiv;leicht unterbewertet;negativ;-3.16%;STOXX600;17.8;21.60%;11%;11%;38%;40%;2;negativ;51609;3381;7%;1.57;11%;60.87%;9.79%;703
GB00B1N7Z094;SAFE;SAFESTORE HOLDINGS;Immobilienbesitz & Entwicklung;Finanzdienstleistungen;Grossbritannien ;02.08.2024;GBp;823;3.8;neutral;2.28;755.91;49;226;-6.90%;mittel;negativ;leicht unterbewertet;negativ;9.51%;STOXX600;18.1;11.60%;10%;61%;65%;130%;2;neutral;224;200;89%;NULL;26%;7.58%;89.88%;66
FR0000073272;SAF;SAFRAN;Luftfahrt & Verteidigung;Industrie;Frankreich;02.08.2024;EUR;191.15;1.69;neutral;89.28;212.58;-15;148;19.87%;mittel;positiv;leicht unterbewertet;negativ;-2.20%;STOXX600;19.5;21.60%;30%;21%;23%;18%;2;negativ;23651;3444;15%;0.93;10%;46.86%;20.21%;564
SE0005127818;SAGA;SAGAX AB;Immobilienbesitz & Entwicklung;Finanzdienstleistungen;Schweden ;02.08.2024;SEK;268.8;1.27;neutral;8.75;247.14;51;170;-3.10%;mittel;negativ;leicht überbewertet;negativ;0.59%;STOXX600;22;13.70%;0%;80%;50%;42%;0;neutral;4657;-13;0%;NULL;35%;6.34%;NULL;1111
GB00B8C3BL03;SGE;SAGE GROUP;Software;Technologie;Grossbritannien ;02.08.2024;GBp;1045.5;2.02;neutral;13.68;1134.52;-21;202;-10.83%;mittel;negativ;fairer Preis;negativ;-0.19%;STOXX600;22.4;18.10%;15%;18%;36%;14%;1;negativ;2184;211;10%;0.94;32%;55.49%;NULL;190
GB00B019KW72;SBRY;SAINSBURY J;Nahrungsmittel;Einzel- & Grosshandel;Grossbritannien ;02.08.2024;GBp;273.8;5.05;eher positive;8.19;296.91;0;193;-9.52%;mittel;negativ;stark unterbewertet;positiv;11.90%;STOXX600;10.6;9.10%;2%;3%;27%;118%;3;neutral;32700;137;0%;0.66;24%;129.65%;4.02%;306
FR0000125007;SGO;SAINT GOBAIN;Baustoffe & Einbauten;Baugewerbe & Werkstoffe;Frankreich;02.08.2024;EUR;73.68;3.16;neutral;41.28;82.3;32;135;10.53%;mittel;negativ;stark unterbewertet;negativ;1.46%;STOXX600;9.9;8.40%;11%;10%;41%;70%;2;neutral;47944;2669;6%;1.34;23%;83.67%;10.09%;1013
IT0005495657;SPM;SAIPEM;Bohranlagen & Dienstleistungen;Energie;Italien;02.08.2024;EUR;2.06;3.25;neutral;4.66;2.48;-17;299;40.27%;mittel;negativ;leicht unterbewertet;negativ;-11.67%;STOXX600;7.5;26.40%;7%;4%;18%;82%;1;negativ;11874;179;2%;1.18;20%;91.34%;5.38%;0
NO0010310956;SALM;SALMAR;Landwirtschaft & Fischerei;Nahrungsmittel & Getränke;Norwegen;02.08.2024;NOK;604;5.71;eher positive;7.46;672.16;-56;229;6.11%;niedrig;positiv;leicht unterbewertet;positiv;10.61%;STOXX600;12.4;15.40%;14%;25%;37%;27%;4;neutral;28219;2839;10%;1.82;26%;52.91%;15.21%;2748
FI4000552500;SAMPO;SAMPO OYJ;Sachversicherungen;Versicherungen;Finnland;02.08.2024;EUR;39.58;4.95;neutral;21.78;42.35;-38;181;-0.08%;mittel;negativ;stark unterbewertet;positiv;2.53%;STOXX600;14.4;9.70%;18%;18%;33%;37%;3;neutral;8699;1323;15%;0.19;13%;39.64%;17.02%;1321
CH1243598427;SDZ;SANDOZ GROUP AG;Pharmaka;Gesundheitswesen;Schweiz ;02.08.2024;CHF;36.94;1.79;positive;18.9;41.55;-67;335;36.51%;niedrig;negativ;stark unterbewertet;positiv;16.25%;STOXX600;11.1;14.90%;1%;4%;44%;63%;3;positiv;8941;69;1%;1.33;22%;54.67%;6.05%;0
SE0000667891;SAND;SANDVIK;Industriemaschinen;Industrie;Schweden ;02.08.2024;SEK;207;2.99;neutral;24.93;228.71;19;138;-5.09%;mittel;negativ;stark unterbewertet;negativ;-0.22%;STOXX600;13.4;14.50%;17%;18%;50%;32%;2;negativ;126503;15300;12%;1.64;21%;72.62%;17.99%;6261
FR0000120578;SAN;SANOFI;Pharmaka;Gesundheitswesen;Frankreich;02.08.2024;EUR;96.15;4.09;eher positive;129.77;104.43;-12;176;7.12%;mittel;positiv;stark unterbewertet;positiv;8.87%;STOXX600;9.2;8.90%;7%;25%;59%;66%;4;positiv;43070;5400;13%;1.27;13%;34.06%;21.17%;4454
PLBZ00000044;BZW;SANTANDER BANK POLSKA SA;Banken;Geldinstitute;Polen;02.08.2024;PLN;502;7.6;neutral;13.12;569.06;-6;253;2.49%;mittel;positiv;leicht unterbewertet;negativ;-5.87%;STOXX600;8;8.20%;15%;46%;11%;63%;2;NULL;21874;4831;22%;0.22;5%;7.91%;24.69%;2414
DE0007164600;SAP;SAP;Software;Technologie;Deutschland;02.08.2024;EUR;186.16;1.23;neutral;242.11;200.53;-26;185;33.47%;mittel;positiv;fairer Preis;positiv;3.07%;STOXX600;26;23.50%;6%;22%;61%;27%;4;negativ;31207;2576;8%;1.32;10%;44.37%;12.65%;2395
DE0007165631;SRT;SARTORIUS;Medizinische Geräte;Gesundheitswesen;Deutschland;02.08.2024;EUR;250;0.32;eher negative;17.44;209.52;129;384;-24.97%;hoch;negativ;fairer Preis;positiv;20.37%;STOXX600;39.1;30.50%;10%;19%;21%;18%;3;positiv;3396;205;6%;1.47;51%;34.72%;16.12%;98
FR0013154002;DIM;SARTORIUS STEDIM BIOTECH;Medizinische Geräte;Gesundheitswesen;Frankreich;02.08.2024;EUR;175.75;0.4;eher negative;19.42;147.88;131;361;-26.62%;hoch;negativ;fairer Preis;positiv;20.39%;STOXX600;35.4;27.60%;12%;17%;34%;12%;3;positiv;2776;310;11%;1.51;46%;35.81%;19.72%;133
CH0024638196;SCHP;SCHINDLER HOLDING AG;Elektrische Komponenten;Industrie;Schweiz ;02.08.2024;CHF;230.2;2.39;neutral;28.66;243.82;-23;134;9.46%;mittel;negativ;fairer Preis;negativ;4.41%;STOXX600;22;15.60%;19%;11%;41%;54%;2;negativ;11494;866;8%;1.4;3%;101.64%;10.57%;430
FR0000121972;SU;SCHNEIDER ELECTRIC;Elektrische Komponenten;Industrie;Frankreich;02.08.2024;EUR;203.5;1.93;neutral;129.92;225.74;18;116;11.95%;mittel;positiv;fairer Preis;negativ;-6.84%;STOXX600;19.1;16.10%;15%;17%;45%;26%;2;negativ;35902;4003;11%;1.21;20%;60.96%;15.22%;1767
GB00BP9LHF23;SDR;SCHRODERS;Vermögensverwalter;Finanzdienstleistungen;Grossbritannien ;02.08.2024;GBp;345;6.23;neutral;7.25;394.52;56;171;-19.75%;mittel;negativ;stark unterbewertet;negativ;-3.08%;STOXX600;10;8.60%;9%;24%;21%;66%;1;neutral;2970;388;13%;NULL;2%;14.40%;20.21%;349
FR0010411983;SCR;SCOR SE;Rückversicherungen;Versicherungen;Frankreich;02.08.2024;EUR;18.32;10.15;neutral;3.65;24.1;55;264;-30.76%;mittel;negativ;leicht unterbewertet;negativ;-20.01%;STOXX600;4.4;54.90%;17%;9%;15%;99%;1;neutral;16803;812;5%;0.26;10%;53.10%;6.09%;254
DE000A12DM80;G24;SCOUT24;Internet;Technologie;Deutschland;02.08.2024;EUR;71.9;1.91;neutral;5.72;77.44;-24;159;12.06%;mittel;negativ;fairer Preis;positiv;4.47%;STOXX600;20.4;16.20%;12%;48%;70%;31%;3;negativ;509;179;35%;0.49;2%;24.80%;42.25%;73
FR0000121709;SK;SEB;Haushaltsprodukte;Privat- & Haushaltswaren;Frankreich;02.08.2024;EUR;89.4;3.42;eher negative;5.4;84.93;75;147;-20.88%;hoch;negativ;stark unterbewertet;negativ;-6.96%;STOXX600;9;10.50%;12%;8%;35%;51%;1;negativ;8006;386;5%;1.25;20%;86.53%;8.37%;139
SE0000163594;SECUB;SECURITAS AB;Dienstleister für Unternehmen;Industrie;Schweden ;02.08.2024;SEK;114.25;3.93;neutral;6.2;119.42;-20;214;15.90%;mittel;positiv;leicht unterbewertet;positiv;11.31%;STOXX600;8.7;38.60%;4%;6%;31%;68%;4;negativ;157249;1285;1%;1.03;30%;133.00%;3.47%;1977
GB00B5ZN1N88;SGRO;SEGRO;Immobilien Investments;Finanzdienstleistungen;Grossbritannien ;02.08.2024;GBp;925.4;3.33;neutral;15.92;994.88;23;143;4.40%;mittel;positiv;fairer Preis;negativ;6.53%;STOXX600;23.3;15.00%;-2%;79%;63%;100%;3;neutral;749;-253;-34%;NULL;31%;4.33%;-32.98%;185
GB0007973794;SRP;SERCO GROUP PLC.;Dienstleister für Unternehmen;Industrie;Grossbritannien ;02.08.2024;GBp;173.4;2.53;neutral;2.41;192.2;-4;151;6.97%;mittel;positiv;stark unterbewertet;negativ;-0.68%;STOXX600;8.7;8.40%;20%;4%;40%;58%;3;negativ;4906;202;4%;0.87;18%;187.96%;7.66%;34
LU0088087324;SESG;SES SA;Mobile Kommunikation;Telekommunikation;Frankreich;02.08.2024;EUR;4.53;11.48;eher negative;2.17;4.07;95;243;-23.93%;hoch;negativ;stark unterbewertet;negativ;-2.99%;STOXX600;20.2;1.50%;-31%;65%;30%;143%;1;positiv;4774;-941;-20%;1.93;40%;46.71%;-5.22%;220
GB00B1FH8J72;SVT;SEVERN TRENT;Wasserversorger;Versorger;Grossbritannien ;02.08.2024;GBp;2653;4.62;neutral;9.9;2773.29;-21;219;2.87%;mittel;negativ;leicht unterbewertet;positiv;15.40%;STOXX600;14.8;26.10%;8%;23%;13%;25%;3;positiv;2338;140;6%;2.14;57%;16.19%;24.31%;301
CH0239229302;SFSN;SFS GROUP;Elektrische Komponenten;Industrie;Schweiz ;02.08.2024;CHF;122.6;2.3;neutral;5.72;132.3;4;115;17.66%;mittel;negativ;leicht unterbewertet;positiv;4.21%;STOXX600;15.2;11.70%;20%;12%;53%;33%;3;negativ;3073;266;9%;3.07;25%;120.66%;12.80%;97
CH1256740924;SGSN;SGS SA;Dienstleister für Unternehmen;Industrie;Schweiz ;02.08.2024;CHF;93.28;3.43;neutral;20.89;96.78;-46;156;28.59%;mittel;positiv;fairer Preis;positiv;19.74%;STOXX600;20.8;14.90%;120%;14%;7%;3%;4;negativ;6622;553;8%;1.21;51%;97.94%;NULL;590
GB00BP6MXD84;SHELL;SHELL PLC;Öl & Gas Produzenten;Energie;Holland;02.08.2024;EUR;32.81;4.03;eher positive;225.69;35.64;-80;145;10.10%;niedrig;negativ;stark unterbewertet;positiv;-1.10%;STOXX600;8.2;5.00%;11%;9%;46%;87%;2;negativ;278428;17908;6%;1.4;18%;75.70%;14.11%;7763
